Time:                    RO:
0.0                        1.1723206366827938E10
0.001                        2.7989992715492813E10
0.002                        1.9086978241442108E11
0.003                        4.095980283176426E11
0.004                        6.044651362707759E11
0.005                        7.468134281972828E11
0.006                        7.981173258212981E11
0.007                        1.2647447699032935E12
0.008                        1.2845169872739895E12
0.009000000000000001                        2.0911368675953347E12
0.0                        2.123335239780078E12
0.001                        2.1645560881483062E12
0.002                        2.234055493839438E12
0.003                        2.560366372601481E12
0.004                        2.594879553217935E12
0.005                        2.739484848366284E12
0.006                        3.1771520523321436E12
0.007                        3.2479212697204297E12
0.008                        3.739091144944965E12
0.009000000000000001                        4.2851245433604604E12
0.0                        4.3082775923989556E12
0.001                        4.398657691499491E12
0.002                        4.6522586648758125E12
0.003                        4.823943200659593E12
0.004                        4.948098482555379E12
0.005                        5.438428312578428E12
0.006                        5.963203498522546E12
0.007                        6.189920002552309E12
0.008                        6.524659966224619E12
0.009000000000000001                        7.228726522149895E12
0.0                        7.270008728098984E12
0.001                        7.398807849805396E12
0.002                        7.497113234026496E12
0.003                        7.615691584829181E12
0.004                        7.707865253355637E12
0.005                        8.047163709857292E12
0.006                        8.322210419432699E12
0.007                        8.808642077226787E12
0.008                        9.023262834816363E12
0.009000000000000001                        9.221095970024068E12
0.0                        7.975552085102333E10
0.001                        1.0927744536390947E11
0.002                        2.1425743465360144E11
0.003                        3.922326389910882E11
0.004                        4.832074819311234E11
0.0                        5.4833496074192523E11
0.001                        6.195876269548134E11
0.002                        8.397802182193013E11
0.003                        1.1348171100054812E12
0.004                        1.5338596376445715E12
0.0                        1.5903442529756833E12
0.001                        1.650078594256724E12
0.002                        1.8383422728972673E12
0.003                        2.064587375654964E12
0.004                        2.273543434937044E12
0.0                        2.284506652605155E12
0.001                        2.356605709692353E12
0.002                        2.4671036752856567E12
0.003                        2.7905418431302876E12
0.004                        3.1224198306423784E12
0.0                        3.1655298881929736E12
0.001                        3.240113879825751E12
0.002                        3.267587590618834E12
0.003                        3.4382331736975E12
0.004                        3.631872740465307E12
0.0                        3.6361545737161826E12
0.001                        3.761337698765054E12
0.0                        3.7639019034405513E12
0.001                        3.8220749821376626E12
0.0                        3.8954257678588315E12
0.001                        4.0492008197101167E12
0.0                        4.065390965843043E12
0.001                        4.1774323596035034E12
0.0                        4.2458225659634604E12
0.001                        4.3577607323616167E12
0.0                        4.378261469940664E12
0.001                        4.483558793107996E12
0.0                        4.488602562904686E12
0.001                        4.650215040409288E12
0.0                        4.703956875153753E12
0.001                        4.833501708722454E12
0.0                        4.900172182123638E12
0.001                        5.037853275333377E12
0.0                        5.053779283805231E12
0.001                        5.08500777322539E12
0.0                        5.087735070880803E12
0.001                        5.093552087422297E12
0.0                        5.11500734259263E12
0.001                        5.253222856143657E12
0.0                        5.281505564559694E12
0.001                        5.346489254636498E12
0.002                        5.44137207268576E12
0.003                        5.634083389760706E12
0.004                        5.796470673351377E12
0.0                        5.831824444760899E12
0.001                        5.952133309411288E12
0.002                        6.201340469081443E12
0.003                        6.498234865852013E12
0.004                        6.539529969948492E12
0.0                        6.570102450833599E12
0.001                        6.590482345275817E12
0.002                        6.73133576890349E12
0.003                        6.880315793563143E12
0.004                        6.96918640943452E12
0.0                        6.996008351976542E12
0.001                        7.109347465890827E12
0.002                        7.1571400369215625E12
0.003                        7.139860344834293E12
0.004                        7.140073712903222E12
0.0                        7.151950577345888E12
0.001                        7.050080818168406E12
0.002                        7.075136537898832E12
0.003                        7.235001207364378E12
0.004                        7.532550555212273E12
0.0                        7.462571389887211E12
0.001                        7.344158439154962E12
0.002                        7.43163743066955E12
0.003                        7.532570154571684E12
0.004                        7.804795721933466E12
0.0                        7.726589058461331E12
0.001                        7.73774552051043E12
0.002                        7.927073004511188E12
0.003                        8.007880337489577E12
0.004                        8.12806911650536E12
0.0                        8.1072434472228955E12
0.001                        8.147255518933169E12
0.002                        8.014047824354066E12
0.003                        8.272028176948613E12
0.004                        8.359711704426464E12
0.0                        8.3830100025319795E12
0.001                        8.440222733644279E12
0.002                        8.64933774815806E12
0.003                        8.630201105869875E12
0.004                        8.952487987490322E12
0.0                        8.84643567897058E12
0.001                        8.858939001801463E12
0.002                        8.863548844190637E12
0.003                        9.093625083678684E12
0.004                        9.42469554484149E12
0.0                        9.475426588040021E12
0.001                        9.554431780351465E12
0.002                        9.461187380168082E12
0.003                        9.299252092746139E12
0.004                        9.48374363279736E12
0.0                        9.423140352391646E12
0.001                        9.289876391876352E12
0.002                        9.302922775146775E12
0.003                        9.526654157559947E12
0.004                        9.525187622091781E12
0.0                        9.422714306118225E12
0.001                        9.241866553467312E12
0.002                        9.269210428486414E12
0.003                        9.317309251986406E12
0.004                        9.69547705633714E12
0.0                        4.463128103398988E10
0.001                        4.93187903905032E10
0.002                        5.260413329984692E10
0.003                        9.505108140977519E10
0.004                        5.104351637853516E11
0.005                        5.118561705066341E11
0.006                        1.0173578562602334E12
0.007                        1.2881893125940242E12
0.008                        1.4809113089185835E12
0.009000000000000001                        1.970730745430057E12
0.01                        1.989111034991898E12
0.011                        2.33725217462879E12
0.012                        2.4270265050803716E12
0.013000000000000001                        3.208507433807056E12
0.014                        3.5517263368673574E12
0.015                        4.33316980412238E12
0.016                        5.677141594275143E12
0.017                        6.336506974114073E12
0.018000000000000002                        6.70179355869991E12
0.019                        7.4518869130799375E12
0.02                        7.740079490177183E12
0.021                        9.055885335777607E12
0.022                        9.845271893361916E12
0.023                        1.1037201327403443E13
0.024                        1.229551568342535E13
0.025                        1.3313032658924816E13
0.026000000000000002                        1.3606581502689951E13
0.027                        1.5111082699449092E13
0.028                        1.6299540731196002E13
0.029                        1.6187803477653521E13
0.0                        3.17933463288247E10
0.001                        7.609341016473178E10
0.002                        2.9985614979402356E11
0.003                        3.889741722831862E11
0.004                        7.077589984239617E11
0.005                        1.1622637580856367E12
0.006                        1.334491153999419E12
0.007                        1.7799279733692302E12
0.008                        2.1408441786984014E12
0.009000000000000001                        2.338831289815833E12
0.01                        2.77438663848044E12
0.011                        3.434749430774567E12
0.012                        4.412096787982781E12
0.013000000000000001                        4.469228976113955E12
0.014                        4.619864825167442E12
0.015                        4.871961307187394E12
0.016                        4.965426976453331E12
0.017                        5.492444136563198E12
0.018000000000000002                        5.674742046859037E12
0.019                        7.0575240414822295E12
0.02                        7.212971452763946E12
0.021                        8.726288605132236E12
0.022                        9.413720655088184E12
0.023                        1.0291098631181072E13
0.024                        1.1114431764443844E13
0.025                        1.1567758342630955E13
0.026000000000000002                        1.2060720447195104E13
0.027                        1.2285186078581762E13
0.028                        1.3087615742381588E13
0.029                        1.4167123883506018E13
0.0                        1.3905937712859562E13
0.001                        1.3888929349001584E13
0.002                        1.3894207992678555E13
0.003                        1.370172429643625E13
0.004                        1.3619704570422488E13
0.005                        1.3773409111405318E13
0.006                        1.3824137630282186E13
0.007                        1.3655551480300055E13
0.008                        1.3564612963258898E13
0.009000000000000001                        1.4115393625557885E13
0.01                        1.4578964385777828E13
0.011                        1.5041517516293328E13
0.012                        1.5665371179848623E13
0.013000000000000001                        1.5859472789793102E13
0.014                        1.558421839790116E13
0.015                        1.6499691797253035E13
0.016                        1.6285819120918611E13
0.017                        1.7185803536418342E13
0.018000000000000002                        1.762355121805923E13
0.0                        2.0999643804737904E10
0.001                        6.6626876209316605E10
0.002                        2.3224382764937933E11
0.003                        3.046735584485852E11
0.004                        3.675486763059162E11
0.005                        7.529569948921165E11
0.006                        1.3384148280335728E12
0.007                        1.368830910258222E12
0.008                        1.555764564755122E12
0.009000000000000001                        1.969294290069752E12
0.01                        2.211951799315159E12
0.011                        2.740529870113166E12
0.012                        3.580132817470738E12
0.013000000000000001                        4.432645619895961E12
0.014                        4.522068897525096E12
0.015                        5.3681380043375E12
0.016                        5.564370999336975E12
